sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,1,11,1,1,FALSE
1,1,11,6,2,FALSE
1,1,11,13,3,TRUE
1,1,11,9,4,TRUE
1,1,11,2,5,FALSE
1,1,11,10,6,FALSE
1,1,11,4,7,FALSE
1,1,11,7,8,FALSE
1,1,11,5,9,FALSE
1,1,11,12,10,TRUE
1,2,13,9,1,FALSE
1,2,13,1,2,FALSE
1,2,13,6,3,FALSE
1,2,13,11,4,TRUE
1,2,13,8,5,FALSE
1,2,13,3,6,FALSE
1,2,13,12,7,TRUE
1,3,10,7,1,FALSE
1,3,10,5,2,FALSE
1,3,10,12,3,TRUE
1,3,10,3,4,FALSE
1,3,10,8,5,TRUE
1,4,8,12,1,FALSE
1,4,8,3,2,FALSE
1,4,8,1,3,TRUE
1,4,8,6,4,FALSE
1,4,8,9,5,TRUE
1,4,8,10,6,TRUE
1,5,3,1,1,FALSE
1,5,3,6,2,FALSE
1,5,3,8,3,FALSE
1,5,3,11,4,FALSE
1,5,3,12,5,FALSE
1,5,3,5,6,TRUE
1,5,3,7,7,FALSE
1,5,3,10,8,FALSE
1,5,3,9,9,FALSE
1,5,3,13,10,FALSE
1,5,3,2,11,TRUE
1,5,3,4,12,TRUE
1,6,2,4,1,TRUE
1,6,2,10,2,FALSE
1,6,2,9,3,FALSE
1,6,2,13,4,FALSE
1,6,2,6,5,FALSE
1,6,2,1,6,TRUE
1,6,2,11,7,FALSE
1,6,2,3,8,TRUE
1,7,9,10,1,FALSE
1,7,9,1,2,FALSE
1,7,9,6,3,FALSE
1,7,9,13,4,FALSE
1,7,9,2,5,FALSE
1,7,9,4,6,FALSE
1,7,9,5,7,FALSE
1,7,9,7,8,FALSE
1,7,9,12,9,FALSE
1,7,9,3,10,FALSE
1,7,9,8,11,TRUE
1,7,9,11,12,TRUE
1,8,4,2,1,TRUE
1,8,4,10,2,FALSE
1,8,4,9,3,FALSE
1,8,4,13,4,FALSE
1,8,4,6,5,TRUE
1,8,4,1,6,FALSE
1,8,4,11,7,FALSE
1,8,4,3,8,TRUE
1,8,4,8,9,FALSE
1,8,4,12,10,FALSE
1,8,4,5,11,TRUE
1,9,7,5,1,TRUE
1,9,7,3,2,FALSE
1,9,7,1,3,FALSE
1,9,7,6,4,TRUE
1,10,1,6,1,FALSE
1,10,1,3,2,FALSE
1,10,1,8,3,TRUE
1,10,1,11,4,FALSE
1,10,1,12,5,FALSE
1,10,1,5,6,FALSE
1,10,1,7,7,FALSE
1,10,1,10,8,FALSE
1,10,1,9,9,FALSE
1,10,1,13,10,FALSE
1,10,1,2,11,TRUE
1,11,12,2,1,FALSE
